TT	STT DM BYT	Tên thành phần của thuốc	Tên thương mại	Nồng độ, hàm lượng 	Đường dùng	Dạng bào chế	Cơ sở sản xuất	Nước sản xuất	SĐK hoặc GPNK	ĐVT	Giá mua vào (VAT)	Giá thanh toán BHYT	Ghi chú
I. Danh mục thuốc được thanh toán 100%													
A. Chế phẩm YHCT có trong danh mục													
1. Nhóm thuốc lợi tiểu													
1	3	Sài hồ, Tiền hồ, Xuyên khung, Chỉ xác, Khương hoạt, Độc hoạt, Phục linh, Cát cánh, Đảng sâm, Cam thảo.	Panaxanti	260mg + 260mg + 195mg + 195mg + 260mg + 260mg + 260mg + 260mg + 130mg + 130mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Việt (Đông Dược Việt)	Việt Nam	VD-31249-18	Viên	4.000	4.000	50.000
2	4	Thanh cao, Kim ngân hoa, Địa liền, Tía tô, Kinh giới, Thích gia đằng, Bạc hà.	Cảm cúm-f	545mg + 273mg + 273mg + 273mg + 273mg + 273mg + 90mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-25008-16	Viên	1.250	1.250	40.000
2. Nhóm thuốc thanh nhiệt, giải độc, tiêu ban, lợi thủy													
3	7	Actiso.	Viên nang mềm Actisô	300mg.	Uống	Viên nang mềm	Công ty cổ phần công nghệ cao Traphaco	Việt Nam	VD-35977-22	Viên	600	600	50.000
4	7	Actiso.	Actiso ĐDV	Dung tích 100ml.	Uống	Dung dịch uống	Công ty Cổ phần Dược phẩm Việt (Đông Dược Việt)	Việt Nam	VD-34293-20	Chai	40.000	40.000	3.000
5	8	Actiso, Rau đắng đất, Bìm bìm biếc.	Kahagan	0,1g + 0,075g + 0,075g.	Uống	Viên nén bao đường	Công ty cổ phần TM dược VTYT Khải Hà	Việt Nam	VD-28358-17	Viên	179	179	20.000
6	9	Actiso, Cao mật lợn khô, Tỏi, Than hoạt tính.	Chorlatcyn	125mg+50mg+50mg+25mg.	Uống	Viên nang cứng	Công ty cổ phần dược trung ương Mediplantex	Việt  Nam	GC-269-17	Viên	2.499	2.499	30.000
7	10	Actiso, Rau đắng đất, Bìm bìm.	Gaphyton S	100mg   +75mg  + 7,5mg.	Uống	Viên nang mềm	Công ty cổ phần dược vật tư y tế Hải Dương	Việt Nam	VD-25857-16	Viên	630	630	200.000
8	11	Actiso, Rau má.	Mizho	40mg + 300mg.	Uống	Viên nang mềm	Công ty cổ phần dược phẩm Phương Đông - Chi nhánh 1	Việt Nam	VD-29825-18	Viên	1.575	1.575	90.000
9	13	Bạch mao căn, Đương quy, Kim tiền thảo, Xa tiền tử, Ý dĩ, Sinh địa.	Bài Thạch Trường Phúc	0,8g + 0,8g + 3,2g + 0,8g + 0,4g + 0,8g	Uống	Viên nén bao phim	Công ty TNHH Dược thảo Hoàng Thành	Việt Nam	VD-32590-19	Viên	2.200	2.200	200.000
10	17	Cam thảo, Bạch mao căn, Bạch thược, Đan sâm, Bản lam căn, Hoắc hương, Sài hồ, Liên kiều, Thần khúc, Chỉ thực, Mạch nha, Nghệ.	Pharnanca	20mg + 400mg + 400mg + 400mg + 300mg + 300mg + 400mg + 300mg + 300mg + 400mg + 300mg + 400mg.	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Hà Tây	Việt Nam	VD-28954-18	Viên	2.250	2.250	10.000
11	18	Cao khô lá dâu tằm.	Didala	570mg.	Uống	Viên nang cứng	Công ty cổ phần dược trung ương Mediplantex	Việt Nam	VD-24473-16	Viên	2.499	2.499	50.000
12	20	Diếp cá, Rau má.	Kenmag	0,75g + 3g.	Uống	Viên nang mềm	Công ty cổ phần Dược phẩm Phương Đông - Chi nhánh I	Việt Nam	VD-25253-16	Viên	945	945	30.000
13	21	Diệp hạ châu.	Lisimax-280	2,8g.	Uống	Viên nang mềm	Nhà máy HDPHARMA EU - Công ty cổ phần Dược Vật tư Y tế Hải Dương	Việt Nam	VD-33698-19	Viên	1.800	1.800	150.000
14	21	Diệp hạ châu.	Diệp hạ châu	150mg	Uống	Viên nén bao phim	Công ty Cổ phần Dược vật tư y tế Hải Dương	Việt Nam	VD-33690-19	Viên	309	309	20.000
15	25	Diệp hạ châu, Hoàng bá, Mộc hương, Quế nhục, Tam thất.	Phyllantol	1800mg + 500mg + 50mg + 50mg + 1500mg.	Uống	Viên nang	Công ty TNHH Vạn Xuân	Việt Nam	V45-H12-13	Viên	1.680	1.680	200.000
16	27	Diệp hạ châu, Tam thất, Kim ngân hoa, Cam thảo, Thảo quyết minh, Cúc hoa.	Diệp hạ châu Vạn Xuân	10g + 5g + 2g + 2g + 5g + 1g.	Uống	Thuốc cốm	Công ty TNHH Vạn Xuân	Việt Nam	VD-29579-18	Gói	4.620	4.620	50.000
17	27	Diệp hạ châu, Tam thất, Kim ngân hoa, Cam thảo, Thảo quyết minh, Cúc hoa.	Livcol	2000mg + 500mg + 300mg + 300mg + 300mg +50mg.	Uống	Viên nang cứng	Công ty TNHH Vạn Xuân	Việt Nam	TCT-00042-21	Viên	1.890	1.890	100.000
18	28	Diệp hạ châu đắng , Xuyên tâm liên, Bồ công anh, Cỏ mực.	Atiliver Diệp hạ châu	800mg + 200mg + 200mg + 200mg.	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Khang Minh	Việt Nam	VD-22167-15	Viên	2.200	2.200	50.000
19	29	Hoạt thạch, Cam thảo.	Tùng Lộc Thanh Nhiệt Tán	4,3g + 0,7g.	Uống	Thuốc bột	Công Ty Cổ phần dược Quốc tế Tùng Lộc	Việt Nam	VD-26546-17	Gói	5.300	5.300	100.000
20	32	Kim ngân hoa, Liên kiều, Cát cánh, Bạc hà, Đạm trúc diệp, Cam thảo, Kinh giới, Ngưu bàng tử, Đạm đậu sị.	Ngân kiều giải độc-F	400mg + 400mg + 240mg + 24mg + 160mg + 200mg +160mg + 240mg +200mg.	Uống	Viên nang cứng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-20534-14	Viên	710	710	80.000
21	34	Kim ngân hoa, Nhân trần tía, Thương nhĩ tử, Nghệ, Sinh địa, Bồ công anh, Cam thảo.	Khang Minh thanh huyết	300mg + 300mg + 150mg + 200mg + 150mg + 300mg + 50mg.	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Khang Minh	Việt Nam	VD-22168-15	Viên	1.990	1.990	50.000
22	56	Độc hoạt, Phòng phong, Tang ký sinh, Đỗ trọng, Ngưu tất, Trinh nữ, Hồng hoa, Bạch chỉ, Tục đoạn, Bổ cốt chỉ.	Thấp khớp Nam Dược	1g + 1g + 1,5g + 1g + 1g + 1g + 1g + 1g + 1g + 0,5g.	Uống	Viên nang cứng	Công ty TNHH Nam Dược	Việt Nam	VD-34490-20	Viên	2.150	2.150	800.000
23	57	Độc hoạt, Phòng phong, Tang ký sinh, Tần giao, Bạch thược, Ngưu tất, Sinh địa, Cam thảo, Đỗ trọng, Tế tân, Quế nhục, Nhân sâm, Đương quy, Xuyên khung.	Vphonstar	330mg + 330mg + 330mg + 330mg + 330mg + 330mg + 330mg + 330mg + 330mg + 60mg + 60mg + 100mg + 100mg + 50mg.	Uống	Viên nang cứng	Công ty TNHH Vạn Xuân	Việt Nam	TCT-00034-21	Viên	1.150	1.150	800.000
24	61	Hà thủ ô đỏ, Thổ phục linh, Thương nhĩ tử, Hy Thiêm, Thiên niên kiện, Đương quy, Huyết giác.	Phong tê thấp	Dung tích 200ml.	Uống	Cao lỏng	Công ty TNHH Dược phẩm Fitopharma	Việt Nam	VD-23928-15	Chai	40.500	40.500	3.000
25	62	Hy thiêm, Hà thủ ô đỏ chế, Thương nhĩ tử, Thổ phục linh, Phòng kỷ, Thiên niên kiện, Huyết giác.	Phong tê thấp TW3	1000mg + 660mg + 400mg + 670mg + 200mg + 670mg + 400mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Trung ương 3	Việt Nam	VD-24303-16	Viên	777	777	120.000
26	66	Hy thiêm, Thục địa, Tang ký sinh, Khương hoạt, Phòng phong, Đương quy, Đỗ trọng, Thiên niên kiện.	Hoả Long	0,56g + 0,56g + 0,40g + 0,40g + 0,56g + 0,40g + 0,40g + 0,40g.	Uống	Viên hoàn cứng	Công ty TNHH Đông Nam Dược Bảo Long	Việt Nam	VD-31375-18	Gói	5.120	5.120	5.000
27	67	Lá lốt, Hy thiêm, Ngưu tất, Thổ phục linh.	Khang Minh phong thấp nang	400mg + 600mg + 600mg + 600mg.	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Khang Minh	Việt Nam	VD-22473-15	Viên	2.450	2.450	120.000
28	35	Kim tiền thảo.	Kim tiền thảo	4g.	Uống	Viên nang cứng	Công ty TNHH Vạn Xuân	Việt Nam	VD-27651-17	Viên	410	410	50.000
29	36	Kim tiền thảo, Chỉ thực, Nhân trần, Hậu phác, Hoàng cầm, Bạch mao căn, Nghệ, Binh lang, Mộc hương, Đại hoàng.	Bài Thạch TP	1,5g + 150mg + 375mg + 150mg + 225mg + 750mg + 375mg + 150mg + 150mg +  75mg.	Uống	Viên hoàn cứng	Công ty cổ phần dược phẩm Thành Phát	Việt Nam	TCT-00011-20	Gói	3.600	3.600	5.000
30	37	Kim tiền thảo, Râu ngô.	Desmodips	1000mg + 1000mg.	Uống	Viên nang cứng	Công ty TNHH MTV dược phẩm Phước Sanh Pharma	Việt Nam	VD-31003-18	Viên	1.218	1.218	150.000
